title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
Shutter Island,2010,138,Mystery,8.2,"128,012,934.00",Martin Scorsese,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","80,000,000.00",2/19/2010,2,Winter
The Wolf of Wall Street,2013,180,Biography,8.2,"116,900,694.00",Martin Scorsese,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","100,000,000.00",12/25/2013,12,Winter
There Will Be Blood,2007,158,Drama,8.2,"40,222,514.00",Paul Thomas Anderson,Daniel Day-Lewis,695,"809,327,264.00","53,955,151.00","25,000,000.00",12/26/2007,12,Winter
Toy Story 3,2010,103,Animation,8.2,"415,004,880.00",Lee Unkrich,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","200,000,000.00",6/18/2010,6,Summer
V for Vendetta,2006,132,Action,8.2,"70,511,035.00",James McTeigue,Hugo Weaving,1221,"346,491,939.00","38,499,104.00","50,000,000.00",3/17/2006,3,Spring
Rang De Basanti,2006,167,Comedy,8.2,"2,197,331.00",Rakeysh Omprakash Mehra,Aamir Khan,942,"508,122,809.00","84,687,135.00","5,300,000.00",1/27/2006,1,Winter
Batman Begins,2005,140,Action,8.2,"206,852,432.00",Christopher Nolan,Christian Bale,53,"5,869,521,575.00","150,500,553.00","150,000,000.00",6/15/2005,6,Summer
A Beautiful Mind,2001,135,Biography,8.2,"170,742,341.00",Ron Howard,Russell Crowe,100,"4,199,997,044.00","97,674,350.00","78,000,000.00",12/21/2001,12,Winter
L.A. Confidential,1997,138,Crime,8.2,"64,616,940.00",Curtis Hanson,Kevin Spacey,401,"1,434,515,709.00","68,310,272.00","35,000,000.00",9/19/1997,9,Fall
Casino,1995,178,Crime,8.2,"42,438,300.00",Martin Scorsese,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","52,000,000.00",11/22/1995,11,Fall
Unforgiven,1992,130,Drama,8.2,"101,157,447.00",Clint Eastwood,Clint Eastwood,204,"2,448,610,923.00","51,012,728.00","14,400,000.00",8/7/1992,8,Summer
Indiana Jones and the Last Crusade,1989,127,Action,8.2,"197,171,806.00",Steven Spielberg,Harrison Ford,26,"8,173,625,047.00","194,610,120.00","48,000,000.00",5/24/1989,5,Spring
