title,Released_Year,runtime,genre,rating,gross,director,lead_actor,lead_actor_rank,lead_actor_total_revenue,lead_actor_avg_revenue,budget,release_date,release_month,release_season
Brazil,1985,132,Drama,7.9,"9,929,135.00",Terry Gilliam,Jonathan Pryce,673,"838,544,369.00","69,878,697.00","15,000,000.00",5/31/1985,5,Spring
The Blues Brothers,1980,133,Action,7.9,"57,229,890.00",John Landis,John Belushi,1235,"339,221,688.00","67,844,338.00","27,000,000.00",6/20/1980,6,Summer
Spartacus,1960,197,Adventure,7.9,"30,000,000.00",Stanley Kubrick,Kirk Douglas,1772,"174,204,351.00","8,710,218.00","12,000,000.00",10/7/1960,10,Fall
The Ten Commandments,1956,220,Adventure,7.9,"93,740,000.00",Cecil B. DeMille,Charlton Heston,1493,"243,551,718.00","30,443,965.00","13,500,000.00",10/5/1956,10,Fall
The Gentlemen,2019,113,Action,7.8,,Guy Ritchie,Matthew McConaughey,142,"3,350,536,964.00","108,081,838.00","22,000,000.00",12/27/2019,12,Winter
Dunkirk,2017,106,Action,7.8,"188,373,161.00",Christopher Nolan,Fionn Whitehead,936,"509,798,672.00","169,932,891.00","150,000,000.00",7/18/2017,7,Summer
Hidden Figures,2016,127,Biography,7.8,"169,607,287.00",Theodore Melfi,Taraji P. Henson,596,"947,809,140.00","55,753,479.00","25,000,000.00",12/25/2016,12,Winter
Kubo and the Two Strings,2016,101,Animation,7.8,"48,023,088.00",Travis Knight,Charlize Theron,103,"4,169,176,568.00","130,286,768.00","55,000,000.00",8/18/2016,8,Summer
Manchester by the Sea,2016,137,Drama,7.8,"47,695,120.00",Kenneth Lonergan,Casey Affleck,1077,"419,479,714.00","26,217,482.00","8,500,000.00",11/17/2016,11,Fall
The Hateful Eight,2015,168,Crime,7.8,"54,117,416.00",Quentin Tarantino,Samuel L. Jackson,1,"14,627,843,117.00","211,997,726.00","62,000,000.00",12/25/2015,12,Winter
Little Women,2019,135,Drama,7.8,"108,101,214.00",Greta Gerwig,Saoirse Ronan,729,"775,516,235.00","43,084,235.00","42,000,000.00",12/25/2019,12,Winter
Le passé,2013,130,Drama,7.8,"1,330,596.00",Asghar Farhadi,Bérénice Bejo,1975,"146,316,238.00","16,257,360.00","8,000,000.00",11/21/2013,11,Fall
About Time,2013,123,Comedy,7.8,"15,322,921.00",Richard Curtis,Domhnall Gleeson,370,"1,512,197,139.00","252,032,857.00","12,000,000.00",9/4/2013,9,Fall
Toy Story 4,2019,100,Animation,7.8,"434,038,008.00",Josh Cooley,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","200,000,000.00",6/20/2019,6,Summer
Moonrise Kingdom,2012,94,Comedy,7.8,"45,512,466.00",Wes Anderson,Jared Gilman,2430,"45,515,006.00","15,171,669.00","16,000,000.00",5/16/2012,5,Spring
How to Train Your Dragon 2,2014,102,Animation,7.8,"177,002,924.00",Dean DeBlois,Jay Baruchel,261,"2,027,931,717.00","119,290,101.00","145,000,000.00",6/5/2014,6,Summer
The Big Short,2015,130,Biography,7.8,"70,259,870.00",Adam McKay,Christian Bale,53,"5,869,521,575.00","150,500,553.00","28,000,000.00",12/11/2015,12,Winter
The Girl with the Dragon Tattoo,2011,158,Crime,7.8,"102,515,793.00",David Fincher,Daniel Craig,76,"4,864,395,250.00","286,140,897.00","90,000,000.00",12/20/2011,12,Winter
Captain Phillips,2013,134,Adventure,7.8,"107,100,855.00",Paul Greengrass,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","55,000,000.00",10/11/2013,10,Fall
The Hobbit: The Desolation of Smaug,2013,161,Adventure,7.8,"258,366,855.00",Peter Jackson,Ian McKellen,48,"6,293,326,445.00","331,227,708.00","250,000,000.00",12/12/2013,12,Winter
Män som hatar kvinnor,2009,152,Crime,7.8,"10,095,170.00",Niels Arden Oplev,Michael Nyqvist,664,"848,605,303.00","169,721,061.00","13,000,000.00",5/29/2009,5,Spring
The Trial of the Chicago 7,2020,129,Drama,7.8,,Aaron Sorkin,Eddie Redmayne,190,"2,542,822,396.00","231,165,672.00","35,000,000.00",10/2/2020,10,Fall
Druk,2020,117,Comedy,7.8,,Thomas Vinterberg,Mads Mikkelsen,222,"2,329,912,332.00","145,619,521.00","5,700,000.00",10/9/2020,10,Fall
The Fighter,2010,116,Biography,7.8,"93,617,009.00",David O. Russell,Mark Wahlberg,52,"6,039,098,406.00","128,491,455.00","11,000,000.00",12/10/2010,12,Winter
Taken,2008,90,Action,7.8,"145,000,989.00",Pierre Morel,Liam Neeson,41,"6,688,763,972.00","111,479,400.00","25,000,000.00",4/9/2008,4,Spring
The Boy in the Striped Pyjamas,2008,94,Drama,7.8,"9,030,581.00",Mark Herman,Asa Butterfield,790,"667,225,451.00","51,325,035.00","12,500,000.00",11/7/2008,11,Fall
The Hobbit: An Unexpected Journey,2012,169,Adventure,7.8,"303,003,568.00",Peter Jackson,Martin Freeman,64,"5,287,456,832.00","352,497,122.00","200,000,000.00",12/11/2012,12,Winter
Atonement,2007,123,Drama,7.8,"50,927,067.00",Joe Wright,Keira Knightley,102,"4,176,250,848.00","149,151,816.00","30,000,000.00",12/7/2007,12,Winter
Drive,2011,100,Crime,7.8,"35,061,555.00",Nicolas Winding Refn,Ryan Gosling,145,"3,303,774,993.00","137,657,291.00","15,000,000.00",9/16/2011,9,Fall
American Gangster,2007,157,Biography,7.8,"130,164,645.00",Ridley Scott,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","100,000,000.00",11/2/2007,11,Fall
Avatar,2009,162,Action,7.8,"760,507,625.00",James Cameron,Sam Worthington,42,"6,521,509,321.00","271,729,555.00","237,000,000.00",12/17/2009,12,Winter
Mr. Nobody,2009,141,Drama,7.8,"3,600.00",Jaco Van Dormael,Jared Leto,415,"1,416,524,612.00","141,652,461.00","46,500,000.00",9/12/2009,9,Fall
Hot Fuzz,2007,121,Action,7.8,"23,637,265.00",Edgar Wright,Simon Pegg,87,"4,502,402,667.00","173,169,333.00","16,000,000.00",2/16/2007,2,Winter
The Curious Case of Benjamin Button,2008,166,Drama,7.8,"127,509,326.00",David Fincher,Brad Pitt,35,"6,922,963,379.00","150,499,204.00","160,000,000.00",12/25/2008,12,Winter
Veer-Zaara,2004,192,Drama,7.8,"2,921,738.00",Yash Chopra,Shah Rukh Khan,1006,"469,197,397.00","33,514,100.00","7,000,000.00",11/12/2004,11,Fall
Pride & Prejudice,2005,129,Drama,7.8,"38,405,088.00",Joe Wright,Keira Knightley,102,"4,176,250,848.00","149,151,816.00","28,000,000.00",11/11/2005,11,Fall
The World's Fastest Indian,2005,127,Biography,7.8,"5,128,124.00",Roger Donaldson,Anthony Hopkins,98,"4,264,940,995.00","99,184,674.00","25,000,000.00",10/13/2005,10,Fall
Walk the Line,2005,136,Biography,7.8,"119,519,402.00",James Mangold,Joaquin Phoenix,269,"1,979,971,962.00","104,209,051.00","29,000,000.00",11/18/2005,11,Fall
Remember the Titans,2000,113,Biography,7.8,"115,654,751.00",Boaz Yakin,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","30,000,000.00",9/29/2000,9,Fall
Cast Away,2000,143,Adventure,7.8,"233,632,142.00",Robert Zemeckis,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","85,000,000.00",12/22/2000,12,Winter
The Insider,1999,157,Biography,7.8,"28,965,197.00",Michael Mann,Russell Crowe,100,"4,199,997,044.00","97,674,350.00","68,000,000.00",11/5/1999,11,Fall
Titanic,1997,194,Drama,7.8,"659,325,379.00",James Cameron,Leonardo DiCaprio,31,"7,370,079,331.00","272,965,901.00","200,000,000.00",12/18/1997,12,Winter
Gattaca,1997,106,Drama,7.8,"12,339,633.00",Andrew Niccol,Ethan Hawke,543,"1,058,331,282.00","24,052,984.00","36,000,000.00",10/24/1997,10,Fall
The Game,1997,129,Action,7.8,"48,323,648.00",David Fincher,Michael Douglas,106,"4,080,303,574.00","113,341,766.00","50,000,000.00",9/12/1997,9,Fall
Ed Wood,1994,127,Biography,7.8,"5,887,457.00",Tim Burton,Johnny Depp,12,"10,355,729,144.00","195,391,116.00","18,000,000.00",9/30/1994,9,Fall
What's Eating Gilbert Grape,1993,118,Drama,7.8,"9,170,214.00",Lasse Hallström,Johnny Depp,12,"10,355,729,144.00","195,391,116.00","11,000,000.00",12/25/1993,12,Winter
The Remains of the Day,1993,134,Drama,7.8,"22,954,968.00",James Ivory,Anthony Hopkins,98,"4,264,940,995.00","99,184,674.00","15,000,000.00",11/5/1993,11,Fall
The Fugitive,1993,130,Action,7.8,"183,875,760.00",Andrew Davis,Harrison Ford,26,"8,173,625,047.00","194,610,120.00","44,000,000.00",8/6/1993,8,Summer
Awakenings,1990,121,Biography,7.8,"52,096,475.00",Penny Marshall,Robert De Niro,68,"5,178,834,488.00","67,257,591.00","29,000,000.00",12/19/1990,12,Winter
Glory,1989,122,Biography,7.8,"26,830,000.00",Edward Zwick,Matthew Broderick,247,"2,105,089,991.00","110,794,210.00","18,000,000.00",12/13/1989,12,Winter
Back to the Future Part II,1989,108,Adventure,7.8,"118,500,000.00",Robert Zemeckis,Michael J. Fox,265,"2,008,038,953.00","95,620,903.00","40,000,000.00",11/22/1989,11,Fall
Predator,1987,107,Action,7.8,"59,735,548.00",John McTiernan,Arnold Schwarzenegger,88,"4,475,397,168.00","124,316,588.00","18,000,000.00",6/12/1987,6,Summer
The Color Purple,1985,154,Drama,7.8,"98,467,863.00",Steven Spielberg,Danny Glover,393,"1,457,633,745.00","63,375,380.00","15,000,000.00",12/18/1985,12,Winter
Ghostbusters,1984,105,Action,7.8,"238,632,124.00",Ivan Reitman,Bill Murray,119,"3,739,803,793.00","101,075,778.00","30,000,000.00",7/13/2016,7,Summer
The Right Stuff,1983,193,Adventure,7.8,"21,500,000.00",Philip Kaufman,Sam Shepard,2106,"60,307,499.00","6,030,750.00","27,000,000.00",10/21/1983,10,Fall
E.T. the Extra-Terrestrial,1982,115,Family,7.8,"435,110,554.00",Steven Spielberg,Henry Thomas,691,"816,308,814.00","90,700,979.00","10,500,000.00",6/11/1982,6,Summer
Mary Poppins,1964,139,Comedy,7.8,"102,272,727.00",Robert Stevenson,Julie Andrews,683,"827,260,005.00","55,150,667.00","6,000,000.00",8/26/1964,8,Summer
Deadpool 2,2018,119,Action,7.7,"324,591,735.00",David Leitch,Ryan Reynolds,65,"5,258,501,244.00","128,256,128.00","110,000,000.00",5/11/2018,5,Spring
Get Out,2017,104,Horror,7.7,"176,040,665.00",Jordan Peele,Daniel Kaluuya,284,"1,889,798,386.00","314,966,398.00","5,000,000.00",2/24/2017,2,Winter
The Theory of Everything,2014,123,Biography,7.7,"35,893,537.00",James Marsh,Eddie Redmayne,190,"2,542,822,396.00","231,165,672.00","15,000,000.00",11/7/2014,11,Fall
Kingsman: The Secret Service,2015,129,Action,7.7,"128,261,724.00",Matthew Vaughn,Colin Firth,135,"3,482,460,452.00","99,498,870.00","94,000,000.00",1/29/2015,1,Winter
The Fault in Our Stars,2014,126,Drama,7.7,"124,872,350.00",Josh Boone,Shailene Woodley,493,"1,172,167,413.00","65,120,412.00","12,000,000.00",6/4/2014,6,Summer
Me and Earl and the Dying Girl,2015,105,Comedy,7.7,"6,743,776.00",Alfonso Gomez-Rejon,Thomas Mann,1720,"184,249,068.00","18,424,907.00","8,000,000.00",6/12/2015,6,Summer
Birdman or (The Unexpected Virtue of Ignorance),2014,119,Comedy,7.7,"42,340,598.00",Alejandro G. Iñárritu,Michael Keaton,201,"2,470,609,573.00","117,648,075.00","18,000,000.00",10/17/2014,10,Fall
Nebraska,2013,115,Adventure,7.7,"17,654,912.00",Alexander Payne,Bruce Dern,1489,"245,092,573.00","16,339,505.00","12,000,000.00",11/15/2013,11,Fall
Wreck-It Ralph,2012,101,Animation,7.7,"189,422,889.00",Rich Moore,John C. Reilly,239,"2,158,856,737.00","107,942,837.00","165,000,000.00",11/1/2012,11,Fall
Midnight in Paris,2011,96,Comedy,7.7,"56,816,662.00",Woody Allen,Owen Wilson,72,"5,010,646,357.00","135,422,875.00","30,000,000.00",5/20/2011,5,Spring
Gravity,2013,91,Drama,7.7,"274,092,705.00",Alfonso Cuarón,Sandra Bullock,63,"5,400,503,732.00","158,838,345.00","110,000,000.00",10/3/2013,10,Fall
Star Trek Into Darkness,2013,132,Action,7.7,"228,778,661.00",J.J. Abrams,Chris Pine,120,"3,724,181,100.00","169,280,959.00","190,000,000.00",5/16/2013,5,Spring
The Social Network,2010,120,Biography,7.7,"96,962,694.00",David Fincher,Jesse Eisenberg,224,"2,324,953,862.00","89,421,302.00","40,000,000.00",10/1/2010,10,Fall
The Hangover,2009,100,Comedy,7.7,"277,322,503.00",Todd Phillips,Zach Galifianakis,188,"2,559,026,179.00","159,939,136.00","35,000,000.00",6/5/2009,6,Summer
Skyfall,2012,143,Action,7.7,"304,360,277.00",Sam Mendes,Daniel Craig,76,"4,864,395,250.00","286,140,897.00","200,000,000.00",10/26/2012,10,Fall
Silver Linings Playbook,2012,122,Comedy,7.7,"132,092,958.00",David O. Russell,Bradley Cooper,9,"11,420,339,883.00","380,677,996.00","21,000,000.00",11/16/2012,11,Fall
Argo,2012,120,Biography,7.7,"136,025,503.00",Ben Affleck,Ben Affleck,70,"5,090,295,932.00","113,117,687.00","44,500,000.00",10/11/2012,10,Fall
(500) Days of Summer,2009,95,Comedy,7.7,"32,391,374.00",Marc Webb,Zooey Deschanel,1517,"232,049,675.00","33,149,954.00","7,500,000.00",7/17/2009,7,Summer
Frost/Nixon,2008,122,Biography,7.7,"18,593,156.00",Ron Howard,Frank Langella,2382,"46,944,773.00","6,706,396.00","29,000,000.00",12/5/2008,12,Winter
Changeling,2008,141,Biography,7.7,"35,739,802.00",Clint Eastwood,Angelina Jolie,110,"4,036,056,360.00","175,480,711.00","55,000,000.00",10/24/2008,10,Fall
Ex Machina,2015,108,Drama,7.7,"25,442,958.00",Alex Garland,Alicia Vikander,535,"1,062,517,007.00","66,407,313.00","13,000,000.00",1/21/2015,1,Winter
The Last King of Scotland,2006,123,Biography,7.7,"17,605,861.00",Kevin Macdonald,James McAvoy,136,"3,468,425,278.00","144,517,720.00","6,000,000.00",9/27/2006,9,Fall
Zodiac,2007,157,Crime,7.7,"33,080,084.00",David Fincher,Jake Gyllenhaal,167,"2,870,876,978.00","89,714,906.00","85,000,000.00",3/2/2007,3,Spring
Lucky Number Slevin,2006,110,Action,7.7,"22,494,487.00",Paul McGuigan,Josh Hartnett,568,"1,012,189,501.00","50,609,475.00","27,000,000.00",4/7/2006,4,Spring
Joyeux Noël,2006,116,Drama,7.7,"1,054,361.00",Christian Carion,Diane Kruger,617,"898,972,493.00","52,880,735.00","22,000,000.00",3/3/2006,3,Spring
Brokeback Mountain,2005,134,Drama,7.7,"83,043,761.00",Ang Lee,Jake Gyllenhaal,167,"2,870,876,978.00","89,714,906.00","13,900,000.00",12/9/2005,12,Winter
3:10 to Yuma,2007,122,Action,7.7,"53,606,916.00",James Mangold,Russell Crowe,100,"4,199,997,044.00","97,674,350.00","48,000,000.00",9/7/2007,9,Fall
The Bourne Supremacy,2004,108,Action,7.7,"176,241,941.00",Paul Greengrass,Matt Damon,32,"7,316,585,246.00","159,056,201.00","85,000,000.00",7/23/2004,7,Summer
The Machinist,2004,101,Drama,7.7,"1,082,715.00",Brad Anderson,Christian Bale,53,"5,869,521,575.00","150,500,553.00","5,000,000.00",10/22/2004,10,Fall
Ray,2004,152,Biography,7.7,"75,331,600.00",Taylor Hackford,Jamie Foxx,148,"3,249,848,298.00","101,557,759.00","40,000,000.00",10/29/2004,10,Fall
Harry Potter and the Goblet of Fire,2005,157,Adventure,7.7,"290,013,036.00",Mike Newell,Daniel Radcliffe,24,"8,349,249,492.00","347,885,396.00","150,000,000.00",11/18/2005,11,Fall
Man on Fire,2004,146,Action,7.7,"77,911,774.00",Tony Scott,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","60,000,000.00",4/23/2004,4,Spring
Coraline,2009,100,Animation,7.7,"75,286,229.00",Henry Selick,Dakota Fanning,781,"697,527,764.00","31,705,807.00","60,000,000.00",2/6/2009,2,Winter
The Last Samurai,2003,154,Action,7.7,"111,110,575.00",Edward Zwick,Tom Cruise,7,"12,091,138,918.00","274,798,612.00","140,000,000.00",12/5/2003,12,Winter
I Am Sam,2001,132,Drama,7.7,"40,311,852.00",Jessie Nelson,Sean Penn,668,"843,561,090.00","44,397,952.00","22,000,000.00",12/28/2001,12,Winter
Black Hawk Down,2001,144,Drama,7.7,"108,638,745.00",Ridley Scott,Josh Hartnett,568,"1,012,189,501.00","50,609,475.00","95,000,000.00",12/28/2001,12,Winter
Road to Perdition,2002,117,Crime,7.7,"104,454,762.00",Sam Mendes,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","80,000,000.00",7/12/2002,7,Summer
Billy Elliot,2000,110,Drama,7.7,"21,995,263.00",Stephen Daldry,Jamie Bell,747,"739,952,614.00","43,526,624.00","5,000,000.00",10/13/2000,10,Fall
"South Park: Bigger, Longer & Uncut",1999,81,Animation,7.7,"52,037,603.00",Trey Parker,Trey Parker,510,"1,135,796,071.00","378,598,690.00","21,000,000.00",6/30/1999,6,Summer
Office Space,1999,89,Comedy,7.7,"10,824,921.00",Mike Judge,Ron Livingston,2840,"32,433,111.00","2,948,465.00","10,000,000.00",2/19/1999,2,Winter
Training Day,2001,122,Crime,7.7,"76,631,907.00",Antoine Fuqua,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","45,000,000.00",10/5/2001,10,Fall
Rushmore,1998,93,Comedy,7.7,"17,105,219.00",Wes Anderson,Jason Schwartzman,717,"789,301,723.00","43,850,096.00","10,000,000.00",12/11/1998,12,Winter
Being John Malkovich,1999,113,Comedy,7.7,"22,858,926.00",Spike Jonze,John Cusack,234,"2,249,636,122.00","38,129,426.00","13,000,000.00",10/29/1999,10,Fall
As Good as It Gets,1997,139,Comedy,7.7,"148,478,011.00",James L. Brooks,Jack Nicholson,217,"2,388,895,450.00","79,629,848.00","50,000,000.00",12/24/1997,12,Winter
The Fifth Element,1997,126,Action,7.7,"63,540,020.00",Luc Besson,Bruce Willis,39,"6,761,295,465.00","76,832,903.00","95,000,000.00",5/9/1997,5,Spring
Donnie Brasco,1997,127,Biography,7.7,"41,909,762.00",Mike Newell,Al Pacino,203,"2,454,775,881.00","55,790,361.00","35,000,000.00",2/28/1997,2,Winter
Shine,1996,105,Biography,7.7,"35,811,509.00",Scott Hicks,Geoffrey Rush,104,"4,131,571,549.00","258,223,222.00","5,500,000.00",8/15/1996,8,Summer
Hamlet,1996,242,Drama,7.7,"4,414,535.00",Kenneth Branagh,Kenneth Branagh,254,"2,057,231,930.00","146,945,138.00","18,000,000.00",12/25/1996,12,Winter
Philadelphia,1993,125,Drama,7.7,"77,324,422.00",Jonathan Demme,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","26,000,000.00",12/22/1993,12,Winter
The Muppet Christmas Carol,1992,85,Comedy,7.7,"27,281,507.00",Brian Henson,Michael Caine,181,"2,642,468,274.00","75,499,094.00","12,000,000.00",12/11/1992,12,Winter
Malcolm X,1992,202,Biography,7.7,"48,169,908.00",Spike Lee,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","35,000,000.00",11/18/1992,11,Fall
The Last of the Mohicans,1992,112,Action,7.7,"75,505,856.00",Michael Mann,Daniel Day-Lewis,695,"809,327,264.00","53,955,151.00","40,000,000.00",9/25/1992,9,Fall
Glengarry Glen Ross,1992,100,Crime,7.7,"10,725,228.00",James Foley,Al Pacino,203,"2,454,775,881.00","55,790,361.00","12,500,000.00",9/30/1992,9,Fall
A Few Good Men,1992,138,Drama,7.7,"141,340,178.00",Rob Reiner,Tom Cruise,7,"12,091,138,918.00","274,798,612.00","33,000,000.00",12/11/1992,12,Winter
Fried Green Tomatoes,1991,130,Drama,7.7,"82,418,501.00",Jon Avnet,Kathy Bates,1051,"438,485,398.00","36,540,450.00","11,000,000.00",12/27/1991,12,Winter
The Verdict,1982,129,Drama,7.7,"54,000,000.00",Sidney Lumet,Paul Newman,362,"1,531,030,431.00","47,844,701.00","16,000,000.00",12/8/1982,12,Winter
Star Trek II: The Wrath of Khan,1982,113,Action,7.7,"78,912,963.00",Nicholas Meyer,William Shatner,545,"1,054,763,093.00","75,340,221.00","12,000,000.00",6/4/1982,6,Summer
First Blood,1982,93,Action,7.7,"47,212,904.00",Ted Kotcheff,Sylvester Stallone,69,"5,143,927,087.00","97,055,228.00","14,000,000.00",10/22/1982,10,Fall
Ordinary People,1980,124,Drama,7.7,"54,800,000.00",Robert Redford,Donald Sutherland,1070,"429,753,614.00","19,534,255.00","6,200,000.00",9/19/1980,9,Fall
Just Mercy,2019,137,Biography,7.6,,Destin Daniel Cretton,Michael B. Jordan,210,"2,414,991,835.00","127,104,833.00","25,000,000.00",12/25/2019,12,Winter
Gifted,2017,101,Drama,7.6,"24,801,212.00",Marc Webb,Chris Evans,10,"11,227,419,767.00","400,979,277.00","7,000,000.00",4/7/2017,4,Spring
Baby Driver,2017,113,Action,7.6,"107,825,862.00",Edgar Wright,Ansel Elgort,826,"622,829,544.00","69,203,283.00","34,000,000.00",6/28/2017,6,Summer
Only the Brave,2017,134,Action,7.6,"18,340,051.00",Joseph Kosinski,Josh Brolin,22,"8,389,443,036.00","322,670,886.00","38,000,000.00",10/20/2017,10,Fall
Bridge of Spies,2015,142,Drama,7.6,"72,313,754.00",Steven Spielberg,Tom Hanks,11,"10,857,762,422.00","193,888,615.00","40,000,000.00",10/14/2015,10,Fall
Incredibles 2,2018,118,Animation,7.6,"608,581,744.00",Brad Bird,Craig T. Nelson,282,"1,894,521,169.00","631,507,056.00","200,000,000.00",6/15/2018,6,Summer
Sicario,2015,121,Action,7.6,"46,889,293.00",Denis Villeneuve,Emily Blunt,158,"3,041,274,792.00","104,871,545.00","30,000,000.00",9/17/2015,9,Fall
Creed,2015,133,Drama,7.6,"109,767,581.00",Ryan Coogler,Michael B. Jordan,210,"2,414,991,835.00","127,104,833.00","37,000,000.00",11/25/2015,11,Fall
Hell or High Water,2016,102,Action,7.6,"26,862,450.00",David Mackenzie,Chris Pine,120,"3,724,181,100.00","169,280,959.00","12,000,000.00",8/12/2016,8,Summer
Philomena,2013,98,Biography,7.6,"37,707,719.00",Stephen Frears,Judi Dench,397,"1,449,060,966.00","72,453,048.00","12,000,000.00",11/1/2013,11,Fall
Dawn of the Planet of the Apes,2014,130,Action,7.6,"208,545,589.00",Matt Reeves,Gary Oldman,564,"1,017,952,503.00","48,473,929.00","170,000,000.00",7/9/2014,7,Summer
End of Watch,2012,109,Action,7.6,"41,003,371.00",David Ayer,Jake Gyllenhaal,167,"2,870,876,978.00","89,714,906.00","15,000,000.00",9/20/2012,9,Fall
A Star Is Born,2018,136,Drama,7.6,"215,288,866.00",Bradley Cooper,Lady Gaga,840,"597,421,303.00","199,140,434.00","36,000,000.00",10/5/2018,10,Fall
50/50,2011,100,Comedy,7.6,"35,014,192.00",Jonathan Levine,Joseph Gordon-Levitt,289,"1,868,729,810.00","77,863,742.00","8,000,000.00",9/30/2011,9,Fall
Kick-Ass,2010,117,Action,7.6,"48,071,303.00",Matthew Vaughn,Aaron Taylor-Johnson,192,"2,521,867,314.00","210,155,610.00","28,000,000.00",4/16/2010,4,Spring
Moneyball,2011,133,Biography,7.6,"75,605,492.00",Bennett Miller,Brad Pitt,35,"6,922,963,379.00","150,499,204.00","50,000,000.00",9/23/2011,9,Fall
La piel que habito,2011,120,Drama,7.6,"3,185,812.00",Pedro Almodóvar,Antonio Banderas,123,"3,695,325,067.00","102,647,919.00","11,000,000.00",10/14/2011,10,Fall
Zombieland,2009,88,Adventure,7.6,"75,590,286.00",Ruben Fleischer,Jesse Eisenberg,224,"2,324,953,862.00","89,421,302.00","23,600,000.00",10/2/2009,10,Fall
Sherlock Holmes,2009,128,Action,7.6,"209,028,679.00",Guy Ritchie,Robert Downey Jr.,3,"14,346,904,626.00","326,066,014.00","90,000,000.00",12/25/2009,12,Winter
Seven Pounds,2008,123,Drama,7.6,"69,951,824.00",Gabriele Muccino,Will Smith,18,"9,005,074,051.00","243,380,380.00","54,000,000.00",12/19/2008,12,Winter
Eastern Promises,2007,100,Action,7.6,"17,114,882.00",David Cronenberg,Naomi Watts,600,"938,695,659.00","27,608,696.00","50,000,000.00",9/14/2007,9,Fall
Stardust,2007,127,Adventure,7.6,"38,634,938.00",Matthew Vaughn,Charlie Cox,1936,"150,832,707.00","50,277,569.00","70,000,000.00",8/10/2007,8,Summer
Inside Man,2006,129,Crime,7.6,"88,513,495.00",Spike Lee,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","50,000,000.00",3/24/2006,3,Spring
Gone Baby Gone,2007,114,Crime,7.6,"20,300,218.00",Ben Affleck,Morgan Freeman,79,"4,811,640,108.00","96,232,802.00","19,000,000.00",10/19/2007,10,Fall
The Illusionist,2006,110,Drama,7.6,"39,868,642.00",Neil Burger,Edward Norton,368,"1,525,228,133.00","84,734,896.00","16,500,000.00",8/18/2006,8,Summer
Harry Potter and the Half-Blood Prince,2009,153,Action,7.6,"301,959,197.00",David Yates,Daniel Radcliffe,24,"8,349,249,492.00","347,885,396.00","250,000,000.00",7/15/2009,7,Summer
300,2007,117,Action,7.6,"210,614,939.00",Zack Snyder,Gerard Butler,152,"3,200,625,668.00","100,019,552.00","60,000,000.00",3/9/2007,3,Spring
Match Point,2005,124,Drama,7.6,"23,089,926.00",Woody Allen,Scarlett Johansson,2,"14,557,110,024.00","441,124,546.00","15,000,000.00",12/28/2005,12,Winter
Watchmen,2009,162,Action,7.6,"107,509,799.00",Zack Snyder,Jackie Earle Haley,707,"800,440,014.00","114,348,573.00","138,000,000.00",3/6/2009,3,Spring
Lord of War,2005,122,Action,7.6,"24,149,632.00",Andrew Niccol,Nicolas Cage,50,"6,084,022,622.00","64,042,343.00","42,000,000.00",9/16/2005,9,Fall
"Synecdoche, New York",2008,124,Drama,7.6,"3,081,925.00",Charlie Kaufman,Philip Seymour Hoffman,1160,"376,058,808.00","26,861,343.00","20,000,000.00",10/24/2008,10,Fall
Un long dimanche de fiançailles,2004,133,Drama,7.6,"6,167,817.00",Jean-Pierre Jeunet,Audrey Tautou,644,"864,243,079.00","78,567,553.00","55,000,000.00",11/26/2004,11,Fall
21 Grams,2003,124,Crime,7.6,"16,290,476.00",Alejandro G. Iñárritu,Sean Penn,668,"843,561,090.00","44,397,952.00","20,000,000.00",11/21/2003,11,Fall
Finding Neverland,2004,106,Biography,7.6,"51,680,613.00",Marc Forster,Johnny Depp,12,"10,355,729,144.00","195,391,116.00","25,000,000.00",11/12/2004,11,Fall
The Royal Tenenbaums,2001,110,Comedy,7.6,"52,364,010.00",Wes Anderson,Gene Hackman,561,"1,024,905,078.00","53,942,373.00","28,000,000.00",12/14/2001,12,Winter
The Others,2001,101,Horror,7.6,"96,522,687.00",Alejandro Amenábar,Nicole Kidman,114,"3,925,117,208.00","70,091,379.00","17,000,000.00",8/10/2001,8,Summer
Blow,2001,124,Biography,7.6,"52,990,775.00",Ted Demme,Johnny Depp,12,"10,355,729,144.00","195,391,116.00","30,000,000.00",4/6/2001,4,Spring
Enemy at the Gates,2001,131,Drama,7.6,"51,401,758.00",Jean-Jacques Annaud,Jude Law,93,"4,382,802,067.00","128,905,943.00","85,000,000.00",3/16/2001,3,Spring
Minority Report,2002,145,Action,7.6,"132,072,926.00",Steven Spielberg,Tom Cruise,7,"12,091,138,918.00","274,798,612.00","102,000,000.00",6/21/2002,6,Summer
The Hurricane,1999,146,Biography,7.6,"50,668,906.00",Norman Jewison,Denzel Washington,90,"4,429,199,312.00","90,391,823.00","38,000,000.00",12/29/1999,12,Winter
